meaningful_comparison,year,title,num_ref,num_ref_3years,arxiv,neurips,iclr,icml,aaai,iccv,cvpr,emnlp,acl,naacl,eccv,icra,icassp,ijcai,aistats,sigkdd,neuralcom,ieee_tran,acm_tran,mit_press,nature,jmlr,decision_ori,decision_final,rating1,rating2,rating3,mean,class_label,filetype2,atr0,atr1,atr2,atr3,atr4,atr5,atr6,atr7,atr8,atr9,atr10,atr11,atr12,atr13,atr14,atr15,atr16,atr17,atr18,atr19,atr20,atr21,atr22,atr23,atr24,atr25,atr26,atr27,atr28,atr29,atr30,atr31,atr32,atr33,atr34,atr35,atr36,atr37,atr38,atr39,citation_count,citedIn2018,citedIn2019,citedIn2020,citedIn2021,citedIn2022,citedIn2023
0,2019,Discriminator Rejection Sampling,29,21,10,1,2,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Accept (Poster),Accepted,7,6,6,6.33,good,ICLR_2019_281_paper.json,1,0,4,2,0,2,0,4,1,0,0,1,0,1,0,0,2,1,2,21,1,0,22,4,1,49,1,7,2,5,2,1,4,1,1,0,1,0,20,122,100,7,26,29,24,16,3
1,2019,KnockoffGAN: Generating Knockoffs for Feature Selection using Generative Adversarial Networks,36,8,7,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Accept (Oral),Accepted,6,10,7,7.67,good,ICLR_2019_6_paper.json,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8,10,4,4,24,7,1,55,6,25,7,15,1,9,1,5,4,1,3,2,52,226,41,2,11,8,11,12,1
0,2017,Towards the Limit of Network Quantization,41,18,14,0,8,1,0,1,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,Accept (Poster),Accepted,7,7,7,7,good,ICLR_2017_165_paper.json,2,2,3,1,1,1,1,5,0,1,0,5,1,0,2,0,2,1,0,28,4,1,26,10,1,58,1,7,1,7,0,2,0,1,0,0,0,2,33,154,147,26,30,30,32,26,6
0,2019,Unsupervised Speech Recognition via Segmental Empirical Output Distribution Matching,42,10,6,2,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,3,0,0,0,0,Accept (Poster),Accepted,7,7,7,7,good,ICLR_2019_132_paper.json,0,1,2,5,5,7,4,9,4,2,0,4,0,0,3,0,0,1,8,55,2,0,8,7,0,52,3,17,1,16,3,0,1,0,0,0,1,8,42,161,31,0,6,6,6,14,0
0,2017,Lie-Access Neural Turing Machines,19,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Accept (Poster),Accepted,6,7,6,6.33,good,ICLR_2017_102_paper.json,0,0,2,0,0,1,2,2,0,0,0,2,2,0,0,0,0,0,2,13,2,1,10,9,2,29,5,7,2,3,1,0,1,1,2,0,1,1,59,136,19,1,1,0,1,1,0
0,2019,Neural Graph Evolution: Towards Efficient Automatic Robot Design,40,14,13,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,5,8,6,6.33,good,ICLR_2019_93_paper.json,0,1,4,2,4,3,3,2,1,0,0,6,1,1,1,0,2,1,0,32,7,2,27,20,1,68,4,11,1,8,1,2,2,3,1,1,3,1,47,210,29,0,1,6,10,12,4
0,2017,Entropy-SGD: Biasing Gradient Descent Into Wide Valleys,62,31,0,2,6,4,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,Accept (Poster),Accepted,7,8,9,8,good,ICLR_2017_155_paper.json,5,1,10,3,0,2,4,5,3,2,1,3,2,0,6,0,3,1,2,53,3,2,36,8,0,48,1,16,3,10,1,3,1,0,0,2,7,3,65,209,561,94,116,119,91,95,39
0,2019,TimbreTron: A WaveNet(CycleGAN(CQT(Audio))) Pipeline for Musical Timbre Transfer,42,20,14,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,Accept (Poster),Accepted,4,7,8,6.33,good,ICLR_2019_301_paper.json,5,0,3,4,3,6,2,2,1,0,0,8,3,0,3,0,0,0,1,41,5,4,29,9,2,42,0,18,4,8,0,1,4,3,0,0,4,1,48,182,87,0,9,20,16,13,5
0,2018,Mixed Precision Training,28,13,9,0,4,4,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Accept (Poster),Accepted,8,5,7,6.67,good,ICLR_2018_54_paper.json,0,0,1,0,1,1,0,1,0,0,0,5,2,1,1,0,0,0,5,18,0,0,23,8,0,13,0,9,1,3,1,1,0,0,1,1,0,2,33,96,923,51,141,184,234,259,123
0,2020,Plug and Play Language Models: A Simple Approach to Controlled Text Generation,58,29,14,1,1,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,Accept (Poster),Accepted,6,3,6,5,good,ICLR_2020_353_paper.json,1,0,7,7,4,4,2,8,0,0,0,12,2,0,1,0,5,1,5,59,22,5,81,17,20,73,8,29,4,20,2,2,2,1,26,1,3,2,159,477,417,0,2,93,128,209,88
