motivation,year,title,num_ref,num_ref_3years,arxiv,neurips,iclr,icml,aaai,iccv,cvpr,emnlp,acl,naacl,eccv,icra,icassp,ijcai,aistats,sigkdd,neuralcom,ieee_tran,acm_tran,mit_press,nature,jmlr,decision_ori,decision_final,rating1,rating2,rating3,mean,class_label,filetype2,atr0,atr1,atr2,atr3,atr4,atr5,atr6,atr7,atr8,atr9,atr10,atr11,atr12,atr13,atr14,atr15,atr16,atr17,atr18,atr19,atr20,atr21,atr22,atr23,atr24,atr25,atr26,atr27,atr28,atr29,atr30,atr31,atr32,atr33,atr34,atr35,atr36,atr37,atr38,atr39,citation_count,citedIn2018,citedIn2019,citedIn2020,citedIn2021,citedIn2022,citedIn2023
1,2018,A PAC-Bayesian Approach to Spectrally-Normalized Margin Bounds for Neural Networks,19,7,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Accept (Poster),Accepted,9,6,7,7.33,good,ICLR_2018_212_paper.json,0,0,4,1,0,1,0,1,0,0,0,2,4,0,5,1,2,1,6,28,0,0,7,1,0,30,2,3,1,3,0,0,0,0,0,1,0,1,59,108,444,65,107,96,83,84,32
1,2019,Unsupervised Speech Recognition via Segmental Empirical Output Distribution Matching,42,10,6,2,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,3,0,0,0,0,Accept (Poster),Accepted,7,7,7,7,good,ICLR_2019_132_paper.json,0,1,2,5,5,7,4,9,4,2,0,4,0,0,3,0,0,1,8,55,2,0,8,7,0,52,3,17,1,16,3,0,1,0,0,0,1,8,42,161,31,0,6,6,6,14,0
1,2017,Unsupervised Cross-Domain Image Generation,27,15,6,1,3,2,0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Accept (Poster),Accepted,7,6,7,6.67,good,ICLR_2017_39_paper.json,0,1,0,1,2,0,1,8,0,1,0,1,1,1,0,0,1,0,2,20,4,0,24,12,1,25,0,16,5,4,2,1,3,1,2,0,3,6,45,154,16,162,197,164,118,87,18
1,2017,Entropy-SGD: Biasing Gradient Descent Into Wide Valleys,62,31,0,2,6,4,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,Accept (Poster),Accepted,7,8,9,8,good,ICLR_2017_155_paper.json,5,1,10,3,0,2,4,5,3,2,1,3,2,0,6,0,3,1,2,53,3,2,36,8,0,48,1,16,3,10,1,3,1,0,0,2,7,3,65,209,561,94,116,119,91,95,39
1,2019,TimbreTron: A WaveNet(CycleGAN(CQT(Audio))) Pipeline for Musical Timbre Transfer,42,20,14,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,Accept (Poster),Accepted,4,7,8,6.33,good,ICLR_2019_301_paper.json,5,0,3,4,3,6,2,2,1,0,0,8,3,0,3,0,0,0,1,41,5,4,29,9,2,42,0,18,4,8,0,1,4,3,0,0,4,1,48,182,87,0,9,20,16,13,5
1,2020,Neural Module Networks for Reasoning over Text,29,13,2,2,0,1,0,0,1,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,6,6,8,6.67,good,ICLR_2020_246_paper.json,0,0,2,0,1,3,0,3,0,0,0,6,0,0,1,0,1,0,1,18,2,0,28,13,1,46,3,20,4,10,4,0,1,1,1,0,3,1,77,215,94,0,0,26,31,39,8
1,2019,The role of over-parametrization in generalization of neural networks,29,16,1,7,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,Accept (Poster),Accepted,7,7,7,7,good,ICLR_2019_123_paper.json,0,0,5,0,1,2,1,4,0,2,1,1,0,1,5,0,0,0,1,24,2,2,9,3,0,61,1,13,3,8,1,0,0,1,2,0,3,3,76,188,420,20,117,199,199,149,52
1,2017,Multilayer Recurrent Network Models of Primate Retinal Ganglion Cell Responses,24,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,Accept (Poster),Accepted,8,7,4,6.33,good,ICLR_2017_27_paper.json,0,1,4,2,2,0,1,3,0,0,1,0,0,0,0,0,1,0,5,20,1,2,17,3,0,26,0,1,0,3,1,0,1,0,0,1,2,0,25,83,53,8,9,12,6,10,6
1,2018,Twin Networks: Matching the Future for Sequence Generation,65,30,18,0,9,4,0,0,3,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,Accept (Poster),Accepted,6,7,8,7,good,ICLR_2018_133_paper.json,1,0,1,5,2,2,5,8,1,1,1,4,3,0,0,0,0,0,4,38,1,0,12,6,1,27,2,11,0,10,3,0,1,1,0,0,2,0,19,96,52,11,13,13,6,8,2
1,2019,Deep Convolutional Networks as shallow Gaussian Processes,34,14,12,1,7,3,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,2,Accept (Poster),Accepted,5,8,5,6,good,ICLR_2019_100_paper.json,1,0,8,1,2,7,4,3,1,2,0,4,0,0,2,0,1,3,8,47,1,0,15,5,0,37,2,6,4,4,0,1,0,0,2,0,2,2,75,156,193,10,42,48,52,43,21
1,2018,Generalizing Across Domains via Cross-Gradient Training,33,9,2,1,2,1,1,4,5,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,7,7,8,7.33,good,ICLR_2018_192_paper.json,0,0,1,1,3,1,0,2,0,0,0,4,1,1,1,0,2,0,4,21,1,0,25,5,0,47,2,14,0,5,2,0,1,2,0,1,0,3,40,148,300,11,31,51,102,112,47
