originality,year,title,num_ref,num_ref_3years,arxiv,neurips,iclr,icml,aaai,iccv,cvpr,emnlp,acl,naacl,eccv,icra,icassp,ijcai,aistats,sigkdd,neuralcom,ieee_tran,acm_tran,mit_press,nature,jmlr,decision_ori,decision_final,rating1,rating2,rating3,mean,class_label,filetype2,atr0,atr1,atr2,atr3,atr4,atr5,atr6,atr7,atr8,atr9,atr10,atr11,atr12,atr13,atr14,atr15,atr16,atr17,atr18,atr19,atr20,atr21,atr22,atr23,atr24,atr25,atr26,atr27,atr28,atr29,atr30,atr31,atr32,atr33,atr34,atr35,atr36,atr37,atr38,atr39,citation_count,citedIn2018,citedIn2019,citedIn2020,citedIn2021,citedIn2022,citedIn2023
1,2019,Learning Latent Superstructures in Variational Autoencoders for Deep Multidimensional Clustering,39,9,2,5,2,7,1,1,1,0,0,0,0,0,0,2,0,0,1,1,0,1,0,2,Accept (Poster),Accepted,7,7,8,7.33,good,ICLR_2019_320_paper.json,2,0,5,1,3,3,2,5,0,0,0,5,2,0,0,0,0,0,2,30,4,2,11,11,1,40,0,5,2,5,1,1,2,0,7,0,2,3,53,150,36,2,4,10,12,9,2
1,2020,Hamiltonian Generative Networks,31,12,4,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Accept (Spotlight),Accepted,6,6,8,6.67,good,ICLR_2020_561_paper.json,1,1,3,2,1,2,0,6,1,0,0,0,1,1,0,0,7,2,2,30,5,0,24,18,1,35,0,8,5,8,1,2,2,0,2,0,7,5,63,186,133,0,8,52,47,30,9
0,2020,Robust Reinforcement Learning for Continuous Control with Model Misspecification,41,15,7,0,3,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,Accept (Poster),Accepted,8,6,6,6.67,good,ICLR_2020_298_paper.json,3,1,2,2,1,1,1,1,2,1,0,2,0,0,0,1,0,0,4,22,2,2,28,12,1,47,2,12,13,8,0,2,5,1,3,4,2,1,80,225,72,0,3,18,25,27,9
0,2020,Language GANs Falling Short,30,14,13,1,4,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,Accept (Poster),Accepted,6,8,,7,good,ICLR_2020_171_paper.json,0,1,0,1,1,1,1,4,0,0,0,3,2,1,6,0,0,0,2,23,1,0,42,4,1,48,1,8,2,14,2,2,2,2,1,0,2,5,26,163,153,5,32,47,41,32,14
0,2017,Towards the Limit of Network Quantization,41,18,14,0,8,1,0,1,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,Accept (Poster),Accepted,7,7,7,7,good,ICLR_2017_165_paper.json,2,2,3,1,1,1,1,5,0,1,0,5,1,0,2,0,2,1,0,28,4,1,26,10,1,58,1,7,1,7,0,2,0,1,0,0,0,2,33,154,147,26,30,30,32,26,6
1,2019,Unsupervised Speech Recognition via Segmental Empirical Output Distribution Matching,42,10,6,2,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,3,0,0,0,0,Accept (Poster),Accepted,7,7,7,7,good,ICLR_2019_132_paper.json,0,1,2,5,5,7,4,9,4,2,0,4,0,0,3,0,0,1,8,55,2,0,8,7,0,52,3,17,1,16,3,0,1,0,0,0,1,8,42,161,31,0,6,6,6,14,0
1,2017,Lie-Access Neural Turing Machines,19,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Accept (Poster),Accepted,6,7,6,6.33,good,ICLR_2017_102_paper.json,0,0,2,0,0,1,2,2,0,0,0,2,2,0,0,0,0,0,2,13,2,1,10,9,2,29,5,7,2,3,1,0,1,1,2,0,1,1,59,136,19,1,1,0,1,1,0
0,2017,Unsupervised Cross-Domain Image Generation,27,15,6,1,3,2,0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Accept (Poster),Accepted,7,6,7,6.67,good,ICLR_2017_39_paper.json,0,1,0,1,2,0,1,8,0,1,0,1,1,1,0,0,1,0,2,20,4,0,24,12,1,25,0,16,5,4,2,1,3,1,2,0,3,6,45,154,16,162,197,164,118,87,18
0,2019,Neural Graph Evolution: Towards Efficient Automatic Robot Design,40,14,13,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,5,8,6,6.33,good,ICLR_2019_93_paper.json,0,1,4,2,4,3,3,2,1,0,0,6,1,1,1,0,2,1,0,32,7,2,27,20,1,68,4,11,1,8,1,2,2,3,1,1,3,1,47,210,29,0,1,6,10,12,4
0,2019,Hierarchical interpretations for neural network predictions,42,15,19,1,1,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,Accept (Poster),Accepted,6,6,7,6.33,good,ICLR_2019_336_paper.json,0,0,2,0,2,0,0,3,0,1,0,3,0,0,2,0,0,0,1,14,2,2,26,8,3,45,1,11,5,13,0,0,4,1,2,1,3,0,61,188,103,5,21,23,37,25,9
