clarity,year,title,num_ref,num_ref_3years,arxiv,neurips,iclr,icml,aaai,iccv,cvpr,emnlp,acl,naacl,eccv,icra,icassp,ijcai,aistats,sigkdd,neuralcom,ieee_tran,acm_tran,mit_press,nature,jmlr,decision_ori,decision_final,rating1,rating2,rating3,mean,class_label,filetype2,atr0,atr1,atr2,atr3,atr4,atr5,atr6,atr7,atr8,atr9,atr10,atr11,atr12,atr13,atr14,atr15,atr16,atr17,atr18,atr19,atr20,atr21,atr22,atr23,atr24,atr25,atr26,atr27,atr28,atr29,atr30,atr31,atr32,atr33,atr34,atr35,atr36,atr37,atr38,atr39,citation_count,citedIn2018,citedIn2019,citedIn2020,citedIn2021,citedIn2022,citedIn2023
1,2018,A PAC-Bayesian Approach to Spectrally-Normalized Margin Bounds for Neural Networks,19,7,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Accept (Poster),Accepted,9,6,7.0,7.33,good,ICLR_2018_212_paper.json,0,0,4,1,0,1,0,1,0,0,0,2,4,0,5,1,2,1,6,28,0,0,7,1,0,30,2,3,1,3,0,0,0,0,0,1,0,1,59,108,444,65.0,107.0,96.0,83.0,84.0,32.0
0,2020,Hamiltonian Generative Networks,31,12,4,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Accept (Spotlight),Accepted,6,6,8.0,6.67,good,ICLR_2020_561_paper.json,1,1,3,2,1,2,0,6,1,0,0,0,1,1,0,0,7,2,2,30,5,0,24,18,1,35,0,8,5,8,1,2,2,0,2,0,7,5,63,186,133,0.0,8.0,52.0,47.0,30.0,9.0
0,2020,CM3: Cooperative Multi-goal Multi-stage Multi-agent Reinforcement Learning,55,23,3,6,7,9,4,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,3,Accept (Poster),Accepted,6,6,6.0,6.0,good,ICLR_2020_214_paper.json,0,1,9,4,2,3,4,5,1,1,0,3,1,1,2,0,4,3,7,51,3,0,24,30,0,36,0,7,2,4,1,2,2,0,2,0,0,0,111,224,188,2.0,7.0,7.0,14.0,15.0,6.0
1,2019,KnockoffGAN: Generating Knockoffs for Feature Selection using Generative Adversarial Networks,36,8,7,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Accept (Oral),Accepted,6,10,7.0,7.67,good,ICLR_2019_6_paper.json,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8,10,4,4,24,7,1,55,6,25,7,15,1,9,1,5,4,1,3,2,52,226,41,2.0,11.0,8.0,11.0,12.0,1.0
0,2017,Towards the Limit of Network Quantization,41,18,14,0,8,1,0,1,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,Accept (Poster),Accepted,7,7,7.0,7.0,good,ICLR_2017_165_paper.json,2,2,3,1,1,1,1,5,0,1,0,5,1,0,2,0,2,1,0,28,4,1,26,10,1,58,1,7,1,7,0,2,0,1,0,0,0,2,33,154,147,26.0,30.0,30.0,32.0,26.0,6.0
1,2019,Quaternion Recurrent Neural Networks,50,13,6,0,1,2,0,1,0,0,0,0,0,0,4,0,1,0,2,5,0,0,0,1,Accept (Poster),Accepted,7,7,8.0,7.33,good,ICLR_2019_110_paper.json,4,0,7,5,5,1,1,0,0,0,0,0,0,0,2,0,0,1,6,32,2,3,18,17,2,12,0,1,1,6,1,1,1,0,6,1,0,1,88,161,74,5.0,13.0,20.0,23.0,17.0,9.0
0,2020,SQIL: Imitation Learning via Reinforcement Learning with Sparse Rewards,30,9,11,2,2,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Accept (Poster),Accepted,6,6,8.0,6.67,good,ICLR_2020_9_paper.json,0,0,3,5,1,0,2,7,2,1,1,3,0,1,0,0,0,1,1,28,3,1,29,23,0,25,2,14,5,13,1,0,1,2,0,7,2,2,24,154,125,1.0,3.0,25.0,54.0,50.0,20.0
1,2017,Lie-Access Neural Turing Machines,19,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Accept (Poster),Accepted,6,7,6.0,6.33,good,ICLR_2017_102_paper.json,0,0,2,0,0,1,2,2,0,0,0,2,2,0,0,0,0,0,2,13,2,1,10,9,2,29,5,7,2,3,1,0,1,1,2,0,1,1,59,136,19,1.0,1.0,0.0,1.0,1.0,0.0
1,2017,Unsupervised Cross-Domain Image Generation,27,15,6,1,3,2,0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Accept (Poster),Accepted,7,6,7.0,6.67,good,ICLR_2017_39_paper.json,0,1,0,1,2,0,1,8,0,1,0,1,1,1,0,0,1,0,2,20,4,0,24,12,1,25,0,16,5,4,2,1,3,1,2,0,3,6,45,154,16,162.0,197.0,164.0,118.0,87.0,18.0
0,2020,Sharing Knowledge in Multi-Task Deep Reinforcement Learning,36,1,3,0,4,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,Accept (Poster),Accepted,6,6,6.0,6.0,good,ICLR_2020_4_paper.json,0,0,5,2,1,3,6,4,5,0,0,7,2,0,3,0,3,0,6,47,4,2,18,7,1,25,6,14,6,5,0,1,4,0,1,0,1,2,52,149,2,0.0,2.0,14.0,20.0,28.0,11.0
1,2017,Faster CNNs with Direct Sparse Convolutions and Guided Pruning,28,19,5,6,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Accept (Poster),Accepted,6,7,6.0,6.33,good,ICLR_2017_166_paper.json,0,0,5,2,0,2,2,2,2,0,0,3,0,1,1,0,1,1,4,26,2,1,30,8,2,20,1,9,3,13,1,1,3,1,0,2,1,2,37,137,149,34.0,32.0,36.0,27.0,16.0,6.0
0,2019,The role of over-parametrization in generalization of neural networks,29,16,1,7,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,Accept (Poster),Accepted,7,7,7.0,7.0,good,ICLR_2019_123_paper.json,0,0,5,0,1,2,1,4,0,2,1,1,0,1,5,0,0,0,1,24,2,2,9,3,0,61,1,13,3,8,1,0,0,1,2,0,3,3,76,188,420,20.0,117.0,199.0,199.0,149.0,52.0
1,2018,Generalizing Across Domains via Cross-Gradient Training,33,9,2,1,2,1,1,4,5,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,7,7,8.0,7.33,good,ICLR_2018_192_paper.json,0,0,1,1,3,1,0,2,0,0,0,4,1,1,1,0,2,0,4,21,1,0,25,5,0,47,2,14,0,5,2,0,1,2,0,1,0,3,40,148,300,11.0,31.0,51.0,102.0,112.0,47.0
0,2019,Exploration by random network distillation,55,30,20,4,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,7,4,9.0,6.67,good,ICLR_2019_167_paper.json,0,0,4,1,3,1,1,2,0,0,0,5,3,1,4,0,0,0,7,32,2,5,39,6,1,34,3,13,2,8,2,0,2,1,1,1,3,0,56,179,720,15.0,119.0,175.0,210.0,221.0,98.0
1,2019,A Variational Inequality Perspective on Generative Adversarial Networks,51,23,0,11,7,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Accept (Poster),Accepted,8,8,7.0,7.67,good,ICLR_2019_405_paper.json,3,1,5,6,3,5,0,2,1,2,0,9,1,2,7,0,4,4,17,72,5,3,27,11,4,81,10,17,6,5,1,5,3,0,1,1,5,4,141,330,255,16.0,48.0,71.0,63.0,64.0,19.0
1,2019,Query-Efficient Hard-label Black-box Attack: An Optimization-based Approach,26,14,6,1,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Accept (Poster),Accepted,7,6,7.0,6.67,good,ICLR_2019_438_paper.json,1,1,1,2,2,1,2,7,1,1,0,2,1,1,2,0,0,0,4,29,0,0,16,5,0,49,0,13,0,17,0,1,0,0,3,0,1,3,42,150,263,7.0,47.0,75.0,77.0,60.0,16.0
