replicability,year,title,num_ref,num_ref_3years,arxiv,neurips,iclr,icml,aaai,iccv,cvpr,emnlp,acl,naacl,eccv,icra,icassp,ijcai,aistats,sigkdd,neuralcom,ieee_tran,acm_tran,mit_press,nature,jmlr,decision_ori,decision_final,rating1,rating2,rating3,mean,class_label,filetype2,atr0,atr1,atr2,atr3,atr4,atr5,atr6,atr7,atr8,atr9,atr10,atr11,atr12,atr13,atr14,atr15,atr16,atr17,atr18,atr19,atr20,atr21,atr22,atr23,atr24,atr25,atr26,atr27,atr28,atr29,atr30,atr31,atr32,atr33,atr34,atr35,atr36,atr37,atr38,atr39,citation_count,citedIn2018,citedIn2019,citedIn2020,citedIn2021,citedIn2022,citedIn2023
0,2018,A Deep Reinforced Model for Abstractive Summarization,37,18,8,4,3,0,2,0,0,4,7,3,0,0,0,1,0,0,1,0,0,0,0,0,Accept (Poster),Accepted,8,7,6.0,7.0,good,ICLR_2018_106_paper.json,2,0,3,3,3,1,1,8,0,1,0,8,3,0,1,0,4,0,5,43,2,2,12,3,1,30,2,18,3,12,2,1,2,1,0,1,1,3,17,113,1195,157,223,261,168,139,48
0,2019,KnockoffGAN: Generating Knockoffs for Feature Selection using Generative Adversarial Networks,36,8,7,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Accept (Oral),Accepted,6,10,7.0,7.67,good,ICLR_2019_6_paper.json,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8,10,4,4,24,7,1,55,6,25,7,15,1,9,1,5,4,1,3,2,52,226,41,2,11,8,11,12,1
0,2017,Lie-Access Neural Turing Machines,19,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Accept (Poster),Accepted,6,7,6.0,6.33,good,ICLR_2017_102_paper.json,0,0,2,0,0,1,2,2,0,0,0,2,2,0,0,0,0,0,2,13,2,1,10,9,2,29,5,7,2,3,1,0,1,1,2,0,1,1,59,136,19,1,1,0,1,1,0
0,2020,Emergence of functional and structural properties of the head direction system by optimization of recurrent neural networks,64,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,Accept (Spotlight),Accepted,6,8,6.0,6.67,good,ICLR_2020_568_paper.json,0,1,6,1,2,5,0,4,0,0,1,1,0,0,2,0,2,3,6,34,0,2,35,6,3,50,0,1,0,2,2,1,0,0,5,0,0,3,76,186,20,0,1,7,7,4,5
0,2019,TimbreTron: A WaveNet(CycleGAN(CQT(Audio))) Pipeline for Musical Timbre Transfer,42,20,14,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,Accept (Poster),Accepted,4,7,8.0,6.33,good,ICLR_2019_301_paper.json,5,0,3,4,3,6,2,2,1,0,0,8,3,0,3,0,0,0,1,41,5,4,29,9,2,42,0,18,4,8,0,1,4,3,0,0,4,1,48,182,87,0,9,20,16,13,5
1,2017,Faster CNNs with Direct Sparse Convolutions and Guided Pruning,28,19,5,6,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Accept (Poster),Accepted,6,7,6.0,6.33,good,ICLR_2017_166_paper.json,0,0,5,2,0,2,2,2,2,0,0,3,0,1,1,0,1,1,4,26,2,1,30,8,2,20,1,9,3,13,1,1,3,1,0,2,1,2,37,137,149,34,32,36,27,16,6
0,2019,Exploration by random network distillation,55,30,20,4,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,7,4,9.0,6.67,good,ICLR_2019_167_paper.json,0,0,4,1,3,1,1,2,0,0,0,5,3,1,4,0,0,0,7,32,2,5,39,6,1,34,3,13,2,8,2,0,2,1,1,1,3,0,56,179,720,15,119,175,210,221,98
0,2018,GANITE: Estimation of Individualized Treatment Effects using Generative Adversarial Nets,26,10,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Accept (Poster),Accepted,6,6,6.0,6.0,good,ICLR_2018_123_paper.json,1,1,3,0,0,1,1,5,0,2,0,7,0,0,2,0,1,1,7,32,0,4,12,13,1,48,1,22,1,9,2,2,2,1,0,2,1,3,37,161,233,12,20,64,65,81,30
0,2019,Multi-Domain Adversarial Learning,77,20,2,1,9,3,3,3,4,0,0,0,3,0,0,0,0,0,0,4,0,0,0,4,Accept (Poster),Accepted,5,8,6.0,6.33,good,ICLR_2019_356_paper.json,1,0,6,4,2,0,3,2,2,1,0,13,0,0,5,0,2,0,17,58,3,1,30,10,1,10,0,1,4,2,1,3,4,1,3,0,1,1,62,138,44,1,7,12,10,12,3
0,2019,Neural Probabilistic Motor Primitives for Humanoid Control,45,17,8,4,9,3,0,0,0,0,0,0,0,1,0,0,1,0,0,1,3,0,0,0,Accept (Poster),Accepted,3,6,4.0,4.33,good,ICLR_2019_67_paper.json,4,0,2,2,3,3,3,6,0,0,0,3,0,0,1,0,4,0,4,35,2,0,29,5,2,50,1,13,2,15,3,1,0,0,1,0,1,2,36,163,93,0,19,24,28,24,13
