substance,year,title,num_ref,num_ref_3years,arxiv,neurips,iclr,icml,aaai,iccv,cvpr,emnlp,acl,naacl,eccv,icra,icassp,ijcai,aistats,sigkdd,neuralcom,ieee_tran,acm_tran,mit_press,nature,jmlr,decision_ori,decision_final,rating1,rating2,rating3,mean,class_label,filetype2,atr0,atr1,atr2,atr3,atr4,atr5,atr6,atr7,atr8,atr9,atr10,atr11,atr12,atr13,atr14,atr15,atr16,atr17,atr18,atr19,atr20,atr21,atr22,atr23,atr24,atr25,atr26,atr27,atr28,atr29,atr30,atr31,atr32,atr33,atr34,atr35,atr36,atr37,atr38,atr39,citation_count,citedIn2018,citedIn2019,citedIn2020,citedIn2021,citedIn2022,citedIn2023
0,2018,A Deep Reinforced Model for Abstractive Summarization,37,18,8,4,3,0,2,0,0,4,7,3,0,0,0,1,0,0,1,0,0,0,0,0,Accept (Poster),Accepted,8,7,6.0,7.0,good,ICLR_2018_106_paper.json,2,0,3,3,3,1,1,8,0,1,0,8,3,0,1,0,4,0,5,43,2,2,12,3,1,30,2,18,3,12,2,1,2,1,0,1,1,3,17,113,1195,157.0,223.0,261.0,168.0,139.0,48.0
0,2020,Language GANs Falling Short,30,14,13,1,4,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,Accept (Poster),Accepted,6,8,,7.0,good,ICLR_2020_171_paper.json,0,1,0,1,1,1,1,4,0,0,0,3,2,1,6,0,0,0,2,23,1,0,42,4,1,48,1,8,2,14,2,2,2,2,1,0,2,5,26,163,153,5.0,32.0,47.0,41.0,32.0,14.0
0,2019,Quaternion Recurrent Neural Networks,50,13,6,0,1,2,0,1,0,0,0,0,0,0,4,0,1,0,2,5,0,0,0,1,Accept (Poster),Accepted,7,7,8.0,7.33,good,ICLR_2019_110_paper.json,4,0,7,5,5,1,1,0,0,0,0,0,0,0,2,0,0,1,6,32,2,3,18,17,2,12,0,1,1,6,1,1,1,0,6,1,0,1,88,161,74,5.0,13.0,20.0,23.0,17.0,9.0
0,2017,Lie-Access Neural Turing Machines,19,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Accept (Poster),Accepted,6,7,6.0,6.33,good,ICLR_2017_102_paper.json,0,0,2,0,0,1,2,2,0,0,0,2,2,0,0,0,0,0,2,13,2,1,10,9,2,29,5,7,2,3,1,0,1,1,2,0,1,1,59,136,19,1.0,1.0,0.0,1.0,1.0,0.0
1,2017,Unsupervised Cross-Domain Image Generation,27,15,6,1,3,2,0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Accept (Poster),Accepted,7,6,7.0,6.67,good,ICLR_2017_39_paper.json,0,1,0,1,2,0,1,8,0,1,0,1,1,1,0,0,1,0,2,20,4,0,24,12,1,25,0,16,5,4,2,1,3,1,2,0,3,6,45,154,16,162.0,197.0,164.0,118.0,87.0,18.0
0,2020,Emergence of functional and structural properties of the head direction system by optimization of recurrent neural networks,64,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,Accept (Spotlight),Accepted,6,8,6.0,6.67,good,ICLR_2020_568_paper.json,0,1,6,1,2,5,0,4,0,0,1,1,0,0,2,0,2,3,6,34,0,2,35,6,3,50,0,1,0,2,2,1,0,0,5,0,0,3,76,186,20,0.0,1.0,7.0,7.0,4.0,5.0
0,2019,Neural Graph Evolution: Towards Efficient Automatic Robot Design,40,14,13,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,5,8,6.0,6.33,good,ICLR_2019_93_paper.json,0,1,4,2,4,3,3,2,1,0,0,6,1,1,1,0,2,1,0,32,7,2,27,20,1,68,4,11,1,8,1,2,2,3,1,1,3,1,47,210,29,0.0,1.0,6.0,10.0,12.0,4.0
1,2019,Hierarchical interpretations for neural network predictions,42,15,19,1,1,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,Accept (Poster),Accepted,6,6,7.0,6.33,good,ICLR_2019_336_paper.json,0,0,2,0,2,0,0,3,0,1,0,3,0,0,2,0,0,0,1,14,2,2,26,8,3,45,1,11,5,13,0,0,4,1,2,1,3,0,61,188,103,5.0,21.0,23.0,37.0,25.0,9.0
0,2017,TopicRNN: A Recurrent Neural Network with Long-Range Semantic Dependency,34,7,10,0,2,3,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,3,Accept (Poster),Accepted,6,7,8.0,7.0,good,ICLR_2017_117_paper.json,1,0,1,2,1,1,2,5,0,0,0,3,0,0,0,2,2,4,3,27,4,1,11,4,2,33,0,19,2,3,3,0,0,0,0,0,0,4,58,144,201,39.0,64.0,37.0,30.0,16.0,4.0
0,2018,Global Optimality Conditions for Deep Neural Networks,17,10,3,1,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,Accept (Poster),Accepted,5,7,8.0,6.67,good,ICLR_2018_259_paper.json,0,0,4,0,1,1,0,1,4,0,0,4,1,0,9,0,0,1,3,29,3,0,10,1,1,52,1,0,1,0,1,0,0,0,1,0,0,0,102,173,112,32.0,22.0,22.0,22.0,7.0,3.0
